1,Opel Astra III 1.6,16900,166600,Benzyna,Manualna,2010
2,Opel Astra 1.0 Turbo Start/Stop Innovation,36900,69000,Benzyna,Manualna,2019
3,Opel Astra 1.6 CDTI Sports Tourer Active,32400,152000,Diesel,Manualna,2019
4,Opel Astra IV 1.7 CDTI Cosmo,17500,199000,Diesel,Manualna,2010
5,Opel Astra III 1.8 Cosmo,18900,67338,Benzyna,Automatyczna,2009
6,Opel Astra 1.4 Turbo Exklusiv,21900,156275,Benzyna,Manualna,2010
7,Opel Astra,43800,82000,Benzyna,Manualna,2019
8,Opel Astra III 1.6,15990,200000,Benzyna,Manualna,2009
9,Opel Astra V 1.4 T Elite,42900,85914,Benzyna,Manualna,2017
10,Opel Astra V 1.4 T GPF Elite S&S,53000,101417,Benzyna,Automatyczna,2018
11,Opel Astra 1.4 Turbo Edition,26500,215000,Benzyna,Manualna,2011
12,Opel Astra 1.4 Turbo Edition Sport,25900,157000,Benzyna,Manualna,2015
13,Opel Astra,25900,145250,Benzyna,Manualna,2012
14,Opel Astra 1.4 Turbo Sports Tourer,24900,172800,Benzyna,Manualna,2013
15,Opel Astra 1.6,14000,211000,Benzyna,Manualna,2009
16,Opel Astra V 1.4 T Enjoy,43500,105730,Benzyna,Manualna,2017
17,Opel Astra 1.4 NAVI,11500,200000,Benzyna,Manualna,2009
18,Opel Astra 1.6 Elegance,14900,173000,Benzyna+LPG,Manualna,2008
19,Opel Astra,23900,193077,Benzyna,Manualna,2013
20,Opel Astra V 1.4 Enjoy,24800,120000,Benzyna,Manualna,2013
21,Opel Astra IV 1.4 Cosmo,19999,205000,Benzyna+LPG,Manualna,2011
22,Opel Astra 1.6 CDTI DPF ecoFLEX Start/Stop Edition,24800,188000,Diesel,Manualna,2014
23,Opel Astra III 1.6,9900,248640,Benzyna,Manualna,2011
24,Opel Astra V 1.2 T Elegance S&S,55000,84500,Benzyna,Manualna,2021
25,Opel Astra IV 1.7 CDTI Enjoy,20000,193500,Diesel,Manualna,2013
26,Opel Astra V 1.5 CDTI Elegance S&S,35547,145108,Diesel,Manualna,2019
27,Opel Astra 1.7 CDTI DPF Sports Tourer Innovation,22999,208643,Diesel,Manualna,2011
28,Opel Astra V 1.4 T GS Line S&S,66700,89931,Benzyna,Automatyczna,2019
29,Opel Astra V 1.6 CDTI Dynamic,38550,219000,Diesel,Automatyczna,2018
30,Opel Astra IV 1.6 CDTI Enjoy,34200,156640,Diesel,Manualna,2016
31,Opel Astra,27900,210000,Diesel,Manualna,2016
32,Opel Astra,16900,189544,Benzyna,Manualna,2011
33,Opel Astra IV 1.4 T Sport,24450,196940,Benzyna+LPG,Manualna,2011
34,Opel Astra,21900,191215,Benzyna,Manualna,2011
35,Opel Astra GTC 2.0 CDTI ecoFLEX Start/Stop Edition,29900,190120,Diesel,Manualna,2012
36,Opel Astra 1.6 Caravan Innovation 110 Jahre,11900,156335,Benzyna,Manualna,2010
37,Opel Astra III GTC 1.7 CDTI Cosmo,9300,175488,Diesel,Manualna,2008
38,Opel Astra V 1.6 CDTI Elite S&S,29600,196900,Diesel,Manualna,2017
39,Opel Astra,32900,153544,Benzyna+LPG,Manualna,2016
40,Opel Astra 1.4 Turbo Sports Tourer ecoFLEX Start/Stop Innovation,21950,146000,Benzyna,Manualna,2010
41,Opel Astra 1.6 CDTI DPF ecoFLEX Sports TourerStart/Stop Exklusiv,34999,187000,Diesel,Manualna,2016
42,Opel Astra,53900,143600,Benzyna,Automatyczna,2019
43,Opel Astra 1.4,13900,151000,Benzyna,Manualna,2009
44,Opel Astra,10000,204000,Benzyna,Manualna,2006
45,Opel Astra 1.4 Turbo Selection,24900,186000,Benzyna,Manualna,2013
46,Opel Astra VI 1.2 T GS S&S,89900,33000,Benzyna,Automatyczna,2024
47,Opel Astra IV 1.4 T Cosmo S&S,21900,220000,Benzyna,Manualna,2012
48,Opel Astra 1.6 Enjoy,8500,180000,Benzyna,Manualna,2004
49,Opel Astra V 1.6 CDTI Enjoy S&S,34000,196450,Diesel,Manualna,2017
50,Opel Astra,11000,207500,Diesel,Manualna,2007
51,Opel Astra III 1.8 Sport,8200,180000,Benzyna,Automatyczna,2005
52,Opel Astra V 1.4 T Enjoy,44000,184940,Benzyna,Manualna,2016
53,Opel Astra VI 1.2 T GS S&S,91900,24000,Benzyna,Automatyczna,2024
54,Opel Astra III GTC 1.8 Sport,9500,219000,Benzyna,Manualna,2007
55,Opel Astra 1.6 D (CDTI) Sports Tourer Business,36900,204233,Diesel,Manualna,2017
56,Opel Astra 1.4 Turbo Cosmo,29900,151234,Benzyna,Manualna,2015
57,Opel Astra,13900,208600,Benzyna,Manualna,2008
58,Opel Astra,114900,15298,Benzyna,Automatyczna,2024
59,Opel Astra 1.6 D Automatik Start/Stop Active,23999,295000,Diesel,Automatyczna,2016
60,Opel Astra,29500,247676,Benzyna+LPG,Manualna,2014
61,Opel Astra IV 1.3 CDTI Enjoy ecoFLEX,15000,200757,Diesel,Manualna,2011
62,Opel Astra V 1.4 T GPF Enjoy S&S,48500,137790,Benzyna,Manualna,2019
63,Opel Astra 1.7 CDTI Caravan DPF Edition,9900,271700,Diesel,Manualna,2009
64,Opel Astra,8500,307600,Diesel,Manualna,2011
65,Opel Astra,23999,195467,Diesel,Manualna,2013
66,Opel Astra IV 2.0 CDTI Cosmo S&S,5499,336000,Diesel,Manualna,2012
67,Opel Astra,19900,286500,Diesel,Manualna,2015
68,Opel Astra IV GTC 1.4 T Sport,34900,257000,Benzyna,Manualna,2013
69,Opel Astra III 1.8 Sport,10000,283508,Benzyna+LPG,Automatyczna,2004
70,Opel Astra IV 1.7 CDTI Cosmo,11900,323000,Diesel,Manualna,2010
71,Opel Astra IV 1.6 CDTI Enjoy,20900,333333,Diesel,Manualna,2015
72,Opel Astra GTC 1.9 CDTI Sport,10000,310000,Diesel,Manualna,2007
73,Opel Astra III 1.9 CDTI Sport,17000,315000,Diesel,Manualna,2005
74,Opel Astra V 1.5 CDTI Edition S&S,47000,64000,Diesel,Manualna,2021
75,Opel Astra 1.6,21500,157800,Benzyna,Manualna,2010
76,Opel Astra 1.6 Turbo Start/Stop Automatik Ultimate,64900,149664,Benzyna,Automatyczna,2019
77,Opel Astra,45000,65000,Benzyna,Manualna,2018
78,Opel Astra IV 1.4 T Edition 150,25700,86000,Benzyna,Manualna,2012
79,Opel Astra 1.5 D Start/Stop 2020,43999,105823,Diesel,Manualna,2020
80,Opel Astra,35000,88164,Benzyna,Manualna,2018
81,Opel Astra V 1.4 T Enjoy S&S,57900,59500,Benzyna,Automatyczna,2019
82,Opel Astra V 1.4 T GPF Elite S&S,49500,124500,Benzyna,Manualna,2019
83,Opel Astra V 1.2 T Elegance S&S,51000,102000,Benzyna,Manualna,2022
84,Opel Astra IV 1.6 Active EU6,29500,140000,Benzyna,Manualna,2015
85,Opel Astra,4900,145097,Benzyna,Manualna,2005
86,Opel Astra 1.4 Turbo Sport,16900,146000,Benzyna,Manualna,2010
87,Opel Astra,54000,52166,Benzyna,Manualna,2021
88,Opel Astra 1.4 Turbo Active,47900,45900,Benzyna,Manualna,2017
89,Opel Astra IV 1.6 Enjoy,22500,77000,Benzyna,Manualna,2010
90,Opel Astra 1.4 Turbo Active,19999,139000,Benzyna,Manualna,2010
91,Opel Astra 1.4 Turbo Sports Tourer Innovation,38700,171000,Benzyna,Manualna,2019
92,Opel Astra IV 1.4 T Cosmo,27000,170,Benzyna+LPG,Manualna,2013
93,Opel Astra,35000,112600,Benzyna,Manualna,2013
94,Opel Astra,30500,183000,Benzyna,Manualna,2012
95,Opel Astra V 1.5 CDTI Edition S&S,35900,112202,Diesel,Manualna,2021
96,Opel Astra 1.6 CDTI DPF ecoFLEX Sports TourerStart/Stop Edition,34900,131000,Diesel,Manualna,2016
97,Opel Astra V 1.5 CDTI Edition S&S,35900,113015,Diesel,Manualna,2021
98,Opel Astra GTC 1.6,17999,160714,Benzyna,Manualna,2008
99,Opel Astra,29900,138000,Benzyna,Manualna,2016
100,Opel Astra V 1.2 T Edition S&S,47000,58000,Benzyna,Manualna,2020
101,Opel Astra 1.4 Turbo Active,25000,128269,Benzyna+LPG,Manualna,2013
102,Opel Astra 1.4 Active,24800,47502,Benzyna,Manualna,2011
103,Opel Astra IV 1.4 T Sport,21000,155000,Benzyna,Manualna,2011
104,Opel Astra III 1.6 Enjoy,18800,137800,Benzyna+LPG,Manualna,2011
105,Opel Astra,19900,84000,Benzyna,Automatyczna,2010
106,Opel Astra,32900,226000,Benzyna,Manualna,2016
107,Opel Astra,34900,198622,Benzyna,Automatyczna,2013
108,Opel Astra 1.4 Turbo Dynamic,43000,55400,Benzyna,Manualna,2016
109,Opel Astra GTC 1.8,16900,169000,Benzyna,Manualna,2009
110,Opel Astra,37900,97000,Diesel,Manualna,2021
111,Opel Astra 1.4 Turbo Cosmo,23999,154603,Benzyna,Manualna,2011
112,Opel Astra,8500,149000,Benzyna,Manualna,2008
113,Opel Astra VI 1.2 T Elegance S&S,44600,64000,Benzyna,Manualna,2021
114,Opel Astra 1.4,10300,127500,Benzyna,Manualna,2009
115,Opel Astra IV 1.6 Business EU6,28500,186000,Benzyna,Manualna,2015
116,Opel Astra 1.5 D Start/Stop Business Elegance,42900,87000,Diesel,Manualna,2021
117,Opel Astra V 1.2 T Elegance S&S,45994,72000,Benzyna,Manualna,2021
118,Opel Astra 1.5 D Start/Stop Sports Tourer,33900,126390,Diesel,Manualna,2020
119,Opel Astra V 1.4 T Enjoy,37999,97300,Benzyna,Manualna,2016
120,Opel Astra 1.0 Turbo Start/Stop Innovation,33999,164270,Benzyna,Manualna,2018
121,Opel Astra III 1.6 Enjoy,14900,204725,Benzyna,Manualna,2009
122,Opel Astra,45998,70648,Benzyna,Manualna,2020
123,Opel Astra VI 1.2 T Business Edition S&S,75900,23500,Benzyna,Manualna,2023
124,Opel Astra 1.6 D Start/Stop Sports Tourer Innovation,39900,89300,Diesel,Manualna,2018
125,Opel Astra GTC 1.4 Turbo ecoFLEX Start/Stop,28500,161500,Benzyna,Manualna,2012
126,Opel Astra,46900,46500,Diesel,Manualna,2021
127,Opel Astra V 1.4 T Enjoy,36900,203000,Benzyna,Manualna,2016
128,Opel Astra,26900,145000,Benzyna,Manualna,2013
129,Opel Astra V 1.6 CDTI Elite S&S,40500,123000,Diesel,Manualna,2017
130,Opel Astra V 1.6 CDTI Dynamic,29900,183200,Diesel,Manualna,2018
131,Opel Astra V 1.2 T S&S,49800,69000,Benzyna,Manualna,2020
132,Opel Astra 1.6 D (CDTI) Sports Tourer Selection,31900,171098,Diesel,Manualna,2017
133,Opel Astra,48500,113452,Benzyna,Automatyczna,2018
134,Opel Astra 1.4 Turbo Sports Tourer Innovation,49900,163000,Benzyna,Manualna,2019
135,Opel Astra 1.5 D Start/Stop Sports Tourer,33900,126390,Diesel,Manualna,2020
136,Opel Astra 1.6 D (CDTI) Start/Stop Dynamic,39800,121000,Diesel,Manualna,2016
137,Opel Astra 1.4 Turbo Start/Stop Automatik Business,47999,141371,Benzyna,Automatyczna,2018
138,Opel Astra,44899,70602,Diesel,Manualna,2021
139,Opel Astra V 1.4 T Enjoy,45900,75653,Benzyna,Manualna,2019
140,Opel Astra,49900,74000,Benzyna,Manualna,2019
141,Opel Astra 1.6 CDTI DPF ecoFLEX Sports TourerStart/Stop Edition,34900,131000,Diesel,Manualna,2016
142,Opel Astra 1.4 Turbo Design Edition,24900,165000,Benzyna,Manualna,2013
143,Opel Astra V 1.2 T Elegance S&S,49900,99950,Benzyna,Manualna,2021
144,Opel Astra,30999,135660,Benzyna,Manualna,2015
145,Opel Astra,28000,160732,Benzyna+LPG,Manualna,2013
146,Opel Astra,39900,159000,Diesel,Manualna,2019
147,Opel Astra V 1.2 T Elegance S&S,49900,121000,Benzyna,Manualna,2021
148,Opel Astra V 1.6 CDTI Dynamic S&S,40900,79177,Diesel,Manualna,2018
149,Opel Astra,35000,88164,Benzyna,Manualna,2018
150,Opel Astra V 1.4 T Enjoy,39600,154211,Benzyna,Manualna,2019
151,Opel Astra III 1.6 Enjoy,18800,137800,Benzyna+LPG,Manualna,2011
152,Opel Astra GTC 1.6,17999,160714,Benzyna,Manualna,2008
153,Opel Astra,34900,78000,Benzyna,Manualna,2015
154,Opel Astra 1.4 Turbo Style,24900,97000,Benzyna,Manualna,2013
155,Opel Astra,29900,138000,Benzyna,Manualna,2016
156,Opel Astra V 1.4 T Enjoy S&S,55900,106000,Benzyna,Automatyczna,2018
157,Opel Astra 1.6 CDTI DPF ecoFLEX Start/Stop Edition,25700,196000,Diesel,Manualna,2015
158,Opel Astra,10900,173000,Benzyna,Manualna,2007
